date,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2015-09-20,0,0,47,0,8,0,0,0,0,4,0,0,0,10,0,0,0,44,0,0,15,0,0,37,0,0,0,29,30,0,10,0,3,8,0,9,0,0,11,0,19,0,21,0,38,0,0,11,0,19,0
2015-09-27,0,0,35,0,13,0,22,0,0,13,0,0,0,26,0,0,26,44,0,0,0,0,12,50,0,24,0,0,30,0,0,0,11,16,0,17,0,53,0,0,19,0,0,7,0,0,0,10,38,0,0
2015-10-04,17,0,24,0,18,14,0,0,0,6,10,0,0,21,0,0,26,46,59,0,14,14,12,51,38,73,0,29,0,0,9,0,8,16,0,9,27,40,43,0,21,0,20,7,39,72,10,0,0,18,84
2015-10-11,0,0,24,41,16,15,0,0,0,4,10,0,0,11,0,0,0,0,0,0,15,14,0,25,0,67,0,0,0,0,10,0,8,0,0,17,0,56,11,0,0,54,20,14,0,0,10,0,0,18,0
2015-10-18,0,0,24,0,6,16,22,0,0,8,5,0,20,0,27,0,0,0,0,0,15,13,0,0,35,82,0,0,0,0,24,0,5,8,0,17,54,43,20,0,58,0,28,5,0,0,19,0,0,27,0
2015-10-25,0,0,0,0,11,16,0,0,0,8,10,0,0,33,25,0,0,0,0,0,0,20,12,35,0,0,0,0,63,0,10,0,6,12,0,8,0,0,0,0,0,0,0,3,0,0,19,11,0,0,0
2015-11-01,0,0,0,73,12,0,0,0,96,0,5,0,0,0,0,22,0,0,0,0,0,13,0,0,0,0,71,0,34,0,10,0,3,8,0,0,26,0,10,0,26,0,0,3,37,0,9,21,40,35,0
2015-11-08,17,0,36,0,12,16,21,56,0,4,0,0,0,23,0,0,0,42,0,0,14,13,18,23,0,24,0,0,35,0,14,0,3,8,0,9,26,0,10,0,0,0,19,4,0,0,0,11,40,18,0
2015-11-15,0,0,0,37,10,32,0,0,0,0,14,0,0,22,0,0,0,0,58,0,14,0,0,23,0,0,0,0,0,0,9,0,7,16,0,9,26,0,10,0,0,0,0,7,0,0,10,11,0,0,0
2015-11-22,0,0,0,0,6,18,0,0,0,7,0,0,0,25,0,0,0,45,0,0,0,0,13,0,0,26,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,19,0
2015-11-29,15,0,23,0,8,0,20,0,0,6,0,0,0,22,24,0,0,0,55,22,0,26,0,0,0,0,0,0,30,0,9,73,9,8,0,0,0,0,10,0,0,0,0,3,0,0,9,16,0,0,0
2015-12-06,0,0,0,0,8,15,0,0,0,4,0,0,0,0,0,0,17,0,0,23,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,41,0,0,18,3,0,0,14,11,0,0,0
2015-12-13,0,0,24,37,10,16,0,57,0,4,0,0,0,12,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,26,30,10,0,29,0,19,4,0,0,14,0,0,0,0
2015-12-20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,28,0,0,0,32,0,0,0,89,4,10,0,16,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0
2015-12-27,0,0,25,0,14,17,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,26,0,0,0,0,0,0,0,0,4,0,0,18,0,0,10,0,0,0,0,5,41,0,0,0,0,20,0
2016-01-03,0,0,21,0,13,0,0,41,0,3,0,0,0,28,0,0,0,0,0,0,10,0,10,40,0,0,0,0,0,0,16,0,5,6,0,7,0,21,8,0,22,0,0,3,0,0,8,9,0,0,0
2016-01-10,0,0,30,0,9,12,0,0,0,6,8,0,0,0,17,0,16,30,0,0,0,10,10,0,0,20,0,0,0,0,0,0,6,6,0,6,0,0,0,0,21,0,13,4,29,0,8,9,30,16,0
2016-01-17,0,0,21,31,8,19,0,0,0,5,0,0,0,27,17,0,0,30,40,0,0,0,10,20,24,20,0,0,0,0,0,0,6,7,0,0,19,22,23,0,0,0,0,6,0,0,8,0,0,0,0
2016-01-24,0,0,21,0,6,12,32,0,0,5,0,0,0,14,17,0,17,0,0,0,10,11,0,20,24,0,34,0,27,0,8,0,3,6,0,6,0,22,0,0,0,0,0,9,0,0,0,0,0,0,0
2016-01-31,0,0,20,30,4,18,0,35,0,9,4,0,0,9,0,0,0,0,0,0,0,0,9,0,24,0,0,0,0,0,8,0,3,0,0,13,0,21,11,0,20,0,0,4,0,0,8,0,0,0,0
2016-02-07,11,0,20,0,8,0,0,0,0,3,8,0,0,9,17,17,0,0,0,0,0,0,10,39,0,19,0,0,26,0,0,0,6,6,0,0,0,22,7,0,0,0,13,6,0,0,0,0,0,15,0
2016-02-14,0,0,41,0,3,18,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,10,0,23,19,0,27,0,0,8,0,7,6,0,0,0,22,7,0,0,0,0,4,30,0,15,18,30,0,0
2016-02-21,0,0,30,0,11,0,0,0,0,6,0,0,0,9,33,0,0,0,0,20,10,0,10,19,23,19,33,27,0,0,7,0,6,0,0,6,0,0,0,0,0,0,13,9,0,0,8,0,0,0,0
2016-02-28,0,0,40,0,7,0,0,0,0,0,4,0,0,9,16,17,0,30,40,0,0,10,14,19,0,0,0,0,0,0,0,54,4,6,0,0,19,21,7,0,0,0,13,9,30,0,8,22,0,15,0
2016-03-06,0,0,0,0,4,24,16,0,0,6,8,0,0,9,34,0,16,30,0,0,0,0,19,20,0,38,0,0,0,0,8,0,6,0,0,13,0,0,0,0,0,0,14,4,30,0,0,9,0,0,0
2016-03-13,11,0,21,0,5,24,0,0,0,6,4,0,0,18,17,0,0,0,39,0,10,0,9,0,0,19,34,0,0,0,0,0,12,13,0,0,0,22,8,0,0,0,14,5,0,0,8,9,0,0,0
2016-03-20,0,53,0,0,6,0,0,0,0,0,0,0,19,0,18,18,16,30,42,0,21,11,0,0,0,20,0,0,0,0,15,0,7,7,0,13,19,23,8,0,21,0,14,6,0,0,0,9,0,0,0
